# This is an auxiliary file not to be used by the user of ZEBRA
# failed chi2 numFilterUsed
0 0.275405 5
0 10.8241 5
0 8.5594 5
0 11.4944 5
0 0.0124695 5
0 0.774892 5
0 6.37908 5
0 4.40265 5
0 1.58002 5
0 2.80559 5
0 1.51328 5
0 0.263927 5
0 1.23515 5
0 4.71351 5
0 0.700388 5
0 1.17543 5
0 12.0833 5
0 2.6202 5
0 13.2625 5
0 5.54391 5
0 0.482434 5
0 0.154665 5
0 9.60473 5
0 6.08108 5
0 4.6537 5
0 13.1408 5
0 2.36575 5
0 3.67373 5
0 6.78457 5
0 1.90185 5
0 18.2021 5
0 5.93198 5
0 3.39205 5
0 4.16429 5
0 11.4518 5
0 1.34362 5
0 5.59443 5
0 0.876756 5
0 1.4079 5
0 8.16242 5
0 2.72342 5
0 20.0594 5
0 2.02889 5
0 4.48826 5
0 2.05992 5
0 27.6708 5
0 11.6408 5
0 0.561576 5
0 6.45935 5
0 5.78972 5
0 6.16038 5
0 11.2993 5
0 3.41528 5
0 0.634642 5
0 4.43562 5
0 1.07749 5
0 0.829024 5
0 3.87783 5
0 6.17961 5
0 2.07393 5
0 4.19253 5
0 7.2703 5
0 1.0678 5
0 0.793652 5
0 3.24449 5
0 0.570473 5
0 7.21766 5
0 4.35066 5
0 12.9575 5
0 0.628427 5
0 8.9056 5
0 0.829903 5
0 8.95171 5
0 0.0665017 5
0 2.27211 5
0 1.96761 5
0 0.113896 5
0 8.57271 5
0 1.58057 5
0 0.69503 5
0 1.65254 5
0 0.460282 5
0 8.35475 5
0 6.5342 5
0 1.14797 5
0 14.7101 5
0 1.006 5
0 1.10862 5
0 29.8632 5
0 4.81443 5
0 0.9131 5
0 4.80026 5
0 7.53888 5
0 4.76587 5
0 1.94839 5
0 1.54257 5
0 0.909615 5
0 7.25236 5
0 2.15223 5
0 2.32654 5
0 3.26219 5
0 3.84805 5
0 18.7777 5
0 1.82122 5
0 1.96417 5
0 4.84619 5
0 0.759205 5
0 0.504532 5
0 10.4118 5
0 0.843779 5
0 9.16006 5
0 2.90199 5
0 7.78565 5
0 10.4916 5
0 37.0159 5
0 23.3724 5
0 0.773473 5
0 1.35307 5
0 1.30267 5
0 1.37192 5
0 15.3377 5
0 4.26863 5
0 0.340362 5
0 9.98724 5
0 12.2581 5
0 2.63945 5
0 4.45145 5
0 3.21628 5
0 8.66406 5
0 2.99615 5
0 5.75907 5
0 10.5861 5
0 0.616313 5
0 0.791631 5
0 0.528363 5
0 4.38257 5
0 2.3815 5
0 2.71594 5
0 0.937023 5
0 2.27038 5
0 0.50164 5
0 2.23724 5
0 19.2521 5
0 1.07034 5
0 9.4874 5
0 0.928337 5
0 0.725545 5
0 1.73179 5
0 17.875 5
0 3.25507 5
0 2.8517 5
0 1.23364 5
0 3.92738 5
0 2.1578 5
0 11.2328 5
0 7.57516 5
0 1.41617 5
0 11.6647 5
0 8.63785 5
0 2.94142 5
0 4.09721 5
0 0.229373 5
0 1.91078 5
0 13.8332 5
0 0.45585 5
0 13.0086 5
0 11.5575 5
0 6.8076 5
0 5.07197 5
0 0.105068 5
0 0.254323 5
0 0.509798 5
0 6.26415 5
0 1.19633 5
0 14.8953 5
0 1.69038 5
0 11.3357 5
0 1.76868 5
0 13.4453 5
0 0.219015 5
0 0.154249 5
0 7.8291 5
0 2.03676 5
0 0.602801 5
0 7.06415 5
0 0.232749 5
0 2.00357 5
0 3.79567 5
0 4.41388 5
0 5.42469 5
0 0.859932 5
0 19.756 5
0 5.69081 5
0 1.33065 5
0 15.0342 5
0 0.13098 5
0 0.272198 5
0 7.04247 5
0 2.75676 5
0 1.03864 5
0 1.44846 5
0 0.462498 5
0 5.72565 5
0 4.75042 5
0 8.17899 5
0 1.54935 5
0 4.70487 5
0 5.5254 5
0 1.11605 5
0 16.3265 5
0 2.23301 5
0 2.40409 5
0 0.656885 5
0 1.81443 5
0 0.382363 5
0 20.2858 5
0 1.02196 5
0 0.663642 5
0 2.60785 5
0 0.960994 5
0 12.8104 5
0 2.34708 5
0 0.899701 5
0 0.593668 5
0 1.91775 5
0 1.39368 5
0 32.6991 5
0 2.13412 5
0 1.55387 5
0 0.664045 5
0 1.55001 5
0 1.94783 5
0 0.630825 5
0 3.59463 5
0 1.85529 5
0 0.128372 5
0 0.485966 5
0 1.38331 5
0 0.935691 5
0 1.92844 5
0 0.263842 5
0 4.80205 5
0 3.23899 5
0 0.416307 5
0 1.0425 5
0 4.36933 5
0 0.834626 5
0 2.47993 5
0 12.238 5
0 0.312232 5
0 0.754095 5
0 0.656642 5
0 3.03699 5
0 2.20977 5
0 0.434358 5
0 1.96688 5
0 14.295 5
0 3.28082 5
0 200.586 5
0 2.06994 5
0 0.843146 5
0 22.2142 5
0 9.56926 5
0 1.42747 5
0 2.11145 5
0 4.35685 5
0 13.1844 5
0 2.66774 5
0 4.7436 5
0 0.745132 5
0 1.21478 5
0 16.5021 5
0 5.60112 5
0 3.07616 5
0 3.06045 5
0 6.69865 5
0 0.0143586 5
0 2.73676 5
0 2.16885 5
0 0.377256 5
0 2.91496 5
0 4.0505 5
0 0.414408 5
0 0.293648 5
0 0.719903 5
0 9.71267 5
0 0.781582 5
0 0.761794 5
0 0.117586 5
0 6.32783 5
0 1.4833 5
0 28.5283 5
0 25.7515 5
0 4.52468 5
0 28.3764 5
0 0.304347 5
0 0.0870618 5
0 2.78339 5
0 0.305849 5
0 3.06958 5
0 20.5531 5
0 7.3917 5
0 0.227566 5
0 30.2313 5
0 0.336777 5
0 2.39927 5
0 0.408794 5
0 0.0883251 5
0 0.285955 5
0 11.4446 5
0 0.41417 5
0 0.201209 5
0 0.0817916 5
0 9.64789 5
0 3.32893 5
0 0.414353 5
0 3.55798 5
0 0.685882 5
0 0.81665 5
0 8.91981 5
0 32.6749 5
0 31.2502 5
0 1.14043 5
0 1.58061 5
0 0.567628 5
0 8.4581 5
0 1.00049 5
0 10.0592 5
0 2.18558 5
0 0.901798 5
0 5.94459 5
0 1.19236 5
0 138.724 5
0 1.75632 5
0 23.6631 5
0 4.59102 5
0 1.22769 5
0 0.939984 5
0 3.73391 5
0 0.199301 5
0 4.18269 5
0 0.944178 5
0 1.9869 5
0 11.497 5
0 34.3739 5
0 0.689221 5
0 0.26508 5
0 0.212758 5
0 0.161403 5
